SMILES,NumberOfAtom,Complement,PCE,VOC,JSC,FF,HOMO_Th,LUMO_Th,BandGap_Th
Cc1ccsc1-c1ccc(-c2sc(-c3nc(C)c(-c4ccc(C5=S=C(c6cc7c(s6)-c6sccc6[Si]7(C)C)C=C5C)s4)s3)nc2C)s1,14,PC71BM,3.82,0.72,8.68,61.1,-0.186285714,-0.093785714,-0.0925
COc1c(OC)c(-c2ccc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)s2)c2nsnc2c1-c1ccc(-c2cccs2)s1,15,PC71BM,4.12,0.9,8.44,54.2,-0.189066667,-0.102933333,-0.086133333
Cc1csc(C2=NC3SC(c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)=NC3S2)c1,16,PC71BM,5.88,0.73,11.25,71.6,-0.2011875,-0.0814375,-0.11975
COC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1,14,PC71BM,6.21,0.68,14.59,62.6,-0.197214286,-0.081785714,-0.115428571
C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nonc43)cc21,2,PC71BM,5.4,0.68,13.7,58,-0.2095,-0.102,-0.1075
CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(C)C(=O)C2=C1c1cccs1,13,PC71BM,4.7,0.76,11.8,52,-0.193230769,-0.102846154,-0.090384615
Cc1ccsc1-c1nnc(-c2sc(-c3cc4c(s3)-c3sccc3C4(C)C)cc2C)nn1,14,PC71BM,1.21,0.57,6.23,34,-0.199,-0.094571429,-0.104428571
COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1,15,PC71BM,4.5,0.56,12.2,66.7,-0.191933333,-0.096266667,-0.095666667
Cc1csc(-c2sc(-c3nc4cc5sc(-c6cc(C)c(-c7cc(C)cs7)s6)nc5cc4s3)cc2C)c1,16,PC71BM,0.61,0.53,3.52,33,-0.202625,-0.089375,-0.11325
Cc1ccc(-c2ccc(-c3c4cc(-c5cc(C)c(-c6ccc(-c7sc(C=C8SC(=S)N(C)C8=O)cc7C)s6)s5)sc4c(-c4ccc(-c5ccc(C)s5)s4)c4cc(-c5cc(C)c(-c6ccc(-c7sc(C=C8SC(=S)N(C)C8=O)cc7C)s6)s5)sc43)s2)s1,3,PC71BM,7.58,0.9,11.97,70.4,-0.194,-0.110666667,-0.083333333
COc1c2ccsc2c(OC)c2cc(-c3scc4sc(C(C)=O)c(F)c43)sc21,14,PC71BM,7.7,0.76,15.2,67,-0.204571429,-0.095428571,-0.109142857
COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3sc(-c4nc(C)c(-c5sccc5C)s4)nc3C)s1)C=2,19,PC71BM,0.09,0.76,0.44,25.4,-0.196263158,-0.087157895,-0.109105263
COc1c2ccsc2c(OC)c2cc(-c3scc4cc(C(C)=O)sc43)sc21,17,PC71BM,6.6,0.7,14.7,64,-0.202058824,-0.086,-0.116058824
Cc1ccc(-c2c3sc4cc(-c5scc6cc(S(C)(=O)=O)sc65)sc4c3c(-c3ccc(C)s3)c3sc4ccsc4c32)s1,20,PC71BM,7.79,0.73,16.63,64.13,-0.20245,-0.0856,-0.11685
COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(OC)cc2)cc1,16,PC71BM,4,0.82,9.96,49,-0.1950625,-0.0866875,-0.108375
CN1C(=O)c2csc(-c3cc4c(s3)-c3sccc3C4(C)C)c2C1=O,2,PC71BM,6.09,0.79,13,59.1,-0.209,-0.087,-0.122
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(-c5nc6sc(-c7cccs7)nc6s5)s4)sc32)s1,17,PC71BM,5.22,0.85,10.4,59,-0.199352941,-0.095941176,-0.103411765
COc1c2ccsc2c(OC)c2c1=S=C(c1ccc(-c3sc(-c4nc(C)c(-c5cccs5)s4)nc3C)s1)C=2,13,PC71BM,3.82,0.86,7.84,57,-0.197384615,-0.093769231,-0.103615385
Cn1c2ccccc2c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc21,15,PC71BM,3.8,0.77,9.1,55,-0.191,-0.1004,-0.0906
Cc1cc(-c2c3ccsc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)sc32)sc1C,16,PC71BM,3.94,0.94,8.22,51,-0.1976875,-0.1099375,-0.08775
CC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1,15,PC71BM,7.59,0.74,17.48,58.7,-0.200066667,-0.085866667,-0.1142
COc1cccc2c1ccc(-c1ccc(-c3ccc(-c4cccs4)c4nsnc43)s1)c2OC,17,PC71BM,4.15,0.83,10,50.4,-0.200352941,-0.102941176,-0.097411765
COc1ccsc1-c1sc(-c2scc3c2C(=O)N(C)C3=O)cc1OC,16,PC71BM,1.4,0.41,7.39,48,-0.19625,-0.082875,-0.113375
COC(=O)c1cc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)s1,19,PC71BM,5.32,0.56,15,63.3,-0.201842105,-0.088210526,-0.113631579
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(C6=C7C(=O)N(C)C(c8cccs8)=C7C(=O)N6C)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,19,PC71BM,4.2,0.75,10.3,54,-0.185210526,-0.103473684,-0.081736842
COc1c2sccc2c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc2c1OC,17,PC71BM,3.4,0.9,5.5,68.7,-0.198235294,-0.091941176,-0.106294118
CN1c2ccccc2C(=C2c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3N(C)C2=O)C1=O,15,PC71BM,2.62,0.76,8.26,42,-0.201,-0.1088,-0.0922
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C,8,PC71BM,6.17,0.82,13.27,56.7,-0.189,-0.105,-0.084
Cc1nc(-c2nc(C)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)sc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,14,PC71BM,0.73,0.71,3.42,30.1,-0.193857143,-0.074642857,-0.119214286
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccc5nc6c7ccsc7c7sccc7c6nc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,14,PC71BM,6.06,0.83,11.6,63,-0.195071429,-0.095857143,-0.099214286
Cc1nc(-c2nc(C)c(-c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)s2)sc1-c1cccs1,14,PC71BM,2.86,0.68,7.85,53.5,-0.192214286,-0.091571429,-0.100642857
Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1cnc(-c2ncc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)s2)s1,16,PC71BM,1.3,0.97,4.63,29,-0.188125,-0.0869375,-0.1011875
COCc1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,15,PC71BM,6.58,0.7,14.7,64,-0.197733333,-0.068,-0.129733333
Cc1ccc(-c2ccc(-c3cnc(-c4cc5c(s4)-c4sc(-c6ncc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1,17,PC71BM,6.7,0.78,14.4,59.3,-0.189176471,-0.121882353,-0.067294118
CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(C)C(=O)C2=C1c1cccs1,12,PC71BM,5.5,0.8,10.3,65,-0.194,-0.101166667,-0.092833333
COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1,15,PC71BM,4.9,0.96,9.1,51.8,-0.193133333,-0.102,-0.091133333
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)cc1C3(C)C,13,PC71BM,5.79,0.89,13.3,48.9,-0.192230769,-0.093846154,-0.098384615
COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1,19,PC71BM,5,0.76,10.13,64.3,-0.193894737,-0.095105263,-0.098789474
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1,15,PC71BM,2.77,0.9,7.43,41.4,-0.189,-0.0918,-0.0972
CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1,15,PC71BM,2.58,0.77,8.7,38.5,-0.192733333,-0.091733333,-0.101
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1,10,PC71BM,8.07,0.88,12.94,70.9,-0.1937,-0.1047,-0.089
Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C,16,PC71BM,5.7,0.9,10.16,62,-0.1950625,-0.1191875,-0.075875
CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O,8,PC71BM,3,0.89,5.4,63,-0.212375,-0.11225,-0.100125
Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,18,PC71BM,7.81,0.69,17.07,66.3,-0.196388889,-0.0985,-0.097888889
